id,parent_id,level,order,file,start_line,end_line,title,text,surface_role,semantic_role,inherits,advance,yield_text,flags
P0004,DOC,paragraph,4,docs/practitioner-guide/main.tex,56,57,,\clearpage \input{docs/practitioner-guide/reading-guide},exposition,,,,,
S0007,P0004,sentence,1,docs/practitioner-guide/main.tex,56,57,,\clearpage \input{docs/practitioner-guide/reading-guide},exposition,,,,,
P0005,DOC,paragraph,5,docs/practitioner-guide/main.tex,59,61,,\clearpage \pagenumbering{arabic} \pagestyle{fancy},exposition,,,,,
S0008,P0005,sentence,1,docs/practitioner-guide/main.tex,59,61,,\clearpage \pagenumbering{arabic} \pagestyle{fancy},exposition,,,,,
SEC0001,DOC,section,6,docs/practitioner-guide/main.tex,63,63,Quick start,Quick start,heading,,,,,
P0006,SEC0001,paragraph,1,docs/practitioner-guide/main.tex,64,65,,\label{part:quickstart} \input{docs/practitioner-guide/sections/00-quickstart},exposition,,,,,
S0009,P0006,sentence,1,docs/practitioner-guide/main.tex,64,65,,\label{part:quickstart} \input{docs/practitioner-guide/sections/00-quickstart},exposition,,,,,
P0007,SEC0001,paragraph,2,docs/practitioner-guide/main.tex,67,67,,\clearpage,exposition,,,,,
S0010,P0007,sentence,1,docs/practitioner-guide/main.tex,67,67,,\clearpage,exposition,,,,,
SEC0002,DOC,section,7,docs/practitioner-guide/main.tex,68,68,Detailed guide,Detailed guide,heading,,,,,
P0008,SEC0002,paragraph,1,docs/practitioner-guide/main.tex,69,84,,\label{part:detailed} \input{docs/practitioner-guide/sections/01-question} \input{docs/practitioner-guide/sections/02-equilibrium} \input{docs/practitioner-guide/sections/03-routing-modes} \input{docs/practitioner-guide/sections/04-hulten} \input{docs/practitioner-guide/sections/05-ift} \input{docs/practitioner-guide/sections/06-decomposition} \input{docs/practitioner-guide/sections/07-data} \input{docs/practitioner-guide/sections/08-code} \input{docs/practitioner-guide/sections/10-diagnostics} \clearpage \input{docs/practitioner-guide/sections/09-worked-example} \input{docs/practitioner-guide/sections/11-rsue} \input{docs/practitioner-guide/sections/12-extensions} \clearpage \input{docs/practitioner-guide/sections/13-conclusion},exposition,,,,,
S0011,P0008,sentence,1,docs/practitioner-guide/main.tex,69,84,,\label{part:detailed} \input{docs/practitioner-guide/sections/01-question} \input{docs/practitioner-guide/sections/02-equilibrium} \input{docs/practitioner-guide/sections/03-routing-modes} \input{docs/practitioner-guide/sections/04-hulten} \input{docs/practitioner-guide/sections/05-ift} \input{docs/practitioner-guide/sections/06-decomposition} \input{docs/practitioner-guide/sections/07-data} \input{docs/practitioner-guide/sections/08-code} \input{docs/practitioner-guide/sections/10-diagnostics} \clearpage \input{docs/practitioner-guide/sections/09-worked-example} \input{docs/practitioner-guide/sections/11-rsue} \input{docs/practitioner-guide/sections/12-extensions} \clearpage \input{docs/practitioner-guide/sections/13-conclusion},exposition,,,,,
P0009,SEC0002,paragraph,2,docs/practitioner-guide/main.tex,86,86,,\clearpage,exposition,,,,,
S0012,P0009,sentence,1,docs/practitioner-guide/main.tex,86,86,,\clearpage,exposition,,,,,
SEC0003,DOC,section,8,docs/practitioner-guide/main.tex,87,87,Reference appendices,Reference appendices,heading,,,,,
P0010,SEC0003,paragraph,1,docs/practitioner-guide/main.tex,88,96,,\label{part:appendices} \appendix \input{docs/practitioner-guide/appendices/A-notation-code} \input{docs/practitioner-guide/appendices/B-algorithm} \input{docs/practitioner-guide/appendices/C-config-schema} \input{docs/practitioner-guide/appendices/D-verification} \clearpage \input{docs/practitioner-guide/appendices/F-additional-examples} \input{docs/practitioner-guide/appendices/E-provenance},exposition,,,,,
S0013,P0010,sentence,1,docs/practitioner-guide/main.tex,88,96,,\label{part:appendices} \appendix \input{docs/practitioner-guide/appendices/A-notation-code} \input{docs/practitioner-guide/appendices/B-algorithm} \input{docs/practitioner-guide/appendices/C-config-schema} \input{docs/practitioner-guide/appendices/D-verification} \clearpage \input{docs/practitioner-guide/appendices/F-additional-examples} \input{docs/practitioner-guide/appendices/E-provenance},exposition,,,,,
P0011,SEC0003,paragraph,2,docs/practitioner-guide/main.tex,98,103,,\clearpage \begingroup \small \bibliographystyle{plainnat} \bibliography{docs/practitioner-guide/references} \endgroup,exposition,,,,,
S0014,P0011,sentence,1,docs/practitioner-guide/main.tex,98,103,,\clearpage \begingroup \small \bibliographystyle{plainnat} \bibliography{docs/practitioner-guide/references} \endgroup,exposition,,,,,
